rollback_dt,jdb_id,service_fee,逾期天数,逾期金额,逾期债务数,最小利率,最大利率,首笔借款当前是否逾期,是否首次逾期,历史借款次数含展期,历史借款次数不含展期,历史非逾期还款次数,历史逾期还款次数,前14天外呼数,前14天接通数,前14天接通时长
1,861643655381737476,69.99,57,11462.92,3,1,12,,,273,51,140,86,0,0,0
1,575395423657381271,0.48,675,28411.16,9,0,24,是,是,19,14,6,1,6,0,0
1,574298393992226778,140.05,93,17679.45,3,0,15,,,464,280,624,61,6,6,39
1,555100789788344575,706.18,109,16257.99,2,0,0,,,65,65,206,3,6,3,47
1,551819466325604737,4.75,120,24500.15,8,0,24,,,652,155,375,39,6,2,12
1,550654932927886127,0.08,420,25093.47,3,0,24,,,571,228,196,117,6,0,0
1,855402935444520964,180.46,1065,2577.22,2,24,24,,是,33,13,10,1,0,0,0
1,549316532077592107,9.99,77,13890.01,3,0,15.2,,是,20,19,12,6,6,0,0
1,547696327719103715,83.63,1029,1672.14,2,24,24,,,10,10,0,8,6,2,20
1,851201969988005891,82.35,737,1646.21,1,24,24,,,51,34,28,36,0,0,0
1,547155159964978977,4.76,119,10753.59,1,20,20,是,是,1,1,2,1,6,0,0
1,547155159964978977,4.76,103,10743.2,1,20,20,是,是,1,1,2,0,6,0,0
1,540214594270655306,1.31,1777,1750.75,2,0,0,是,是,2,2,0,0,6,1,16
1,843489738902962177,6.54,1160,3652.24,1,0,0,,,10,8,4,18,7,0,0
1,539059725799240035,149.11,503,43141.31,25,0,24,,,4523,4061,6615,250,6,0,0
1,539059725799240035,51.69,502,44153.56,26,0,24,,,4523,4061,6615,249,6,0,0
1,535066867398973466,906.73,102,39705.19,3,0,24,,,57,54,67,8,6,0,0
1,532241143469935883,95.06,239,4627.97,3,0,0,,,145,124,28,98,6,0,0
1,826459731441692678,54.6,71,21652.28,4,15.4,15.4,,是,129,72,86,9,0,0,0
1,531246312474639038,289.99,145,32844.44,4,0,24,,,793,346,908,160,6,2,14
1,530411948157281466,103.72,97,30497,10,0,15.4,,,448,62,73,14,6,0,0
1,525982280428229747,120.3,163,6038.83,5,0,0,,,530,277,283,125,6,0,0
1,817395580585062402,24.99,168,20225,6,0,24,,,87,47,59,6,0,0,0
1,523519060647243394,1675.5,179,33490.44,1,0,0,,,69,49,62,0,6,1,21
1,814512573234757632,11.34,239,6589.59,2,15,24,,,391,105,313,6,0,0,0
1,814512573234757632,7.49,230,6706.23,2,15,24,,,391,105,313,5,0,0,0
1,519628670655632587,60.15,217,1202.35,1,15,15,,,120,79,71,56,6,0,0
1,518932686262869581,48.99,117,979.81,1,24,24,是,是,5,1,4,4,6,0,0
1,811588328565452808,401.46,143,12282.39,2,0,1,,,157,138,278,21,7,5,42
1,518830180589477151,4.76,201,5587.79,1,24,24,,,109,40,61,16,6,0,0
1,808696726624890880,0.16,632,9061.85,6,12,24,,是,7,7,1,17,7,0,0
1,807929364053176326,171.82,60,7156.71,2,0,0,,,135,117,641,12,0,0,0
1,518830180589477151,4.76,200,5679.11,1,24,24,,,109,40,61,15,6,0,0
1,806541756010016776,34.99,101,143294.46,22,0,24,,,373,308,296,18,7,1,17
1,805010341015531529,53.05,48,3057.96,1,0,0,,是,2,2,8,0,0,0,0
1,803616764498763784,304.1,71,70999.1,4,0,15,,是,49,25,41,0,7,2,11
1,803005550261387265,24.99,46,13173.74,2,1,15.4,,,242,79,127,35,0,0,0
1,799299107532255239,330.53,156,6610.7,1,0,0,,是,77,76,97,0,7,0,0
1,518830180589477151,71.3,199,7100.47,1,24,24,,,109,40,61,14,6,0,0
1,517868493275857803,29.89,250,597.6,1,24,24,,,16,9,7,8,6,4,64
1,517360767902268678,5004.21,126,214833.51,4,0,0,,是,30,30,31,3,6,4,32
1,788438739385790464,9.99,81,38511.28,5,0,15.4,,,1044,167,127,65,0,0,0
1,788438739385790464,65.94,79,39799.03,6,0,15.4,,,1044,167,127,63,0,0,0
1,516958317009539392,375.44,766,7505.52,1,0,0,,,300,245,231,189,6,3,31
1,777218716919103489,1.17,1342,2261.82,2,23,23,,是,6,6,4,0,0,0,0
1,773995716010799106,49.99,112,48622.96,3,0,15,,是,12,12,10,4,0,0,0
1,768574366697877513,149.99,202,14991.4,3,0,0,,,213,209,211,2,7,1,21
1,763207267884425222,0.48,56,397.8,1,0,0,,是,6,4,2,47,0,0,0
1,763207267884425222,0.48,54,406.99,1,0,0,,是,6,4,2,46,0,0,0
1,763207267884425222,0.48,52,416.17,1,0,0,,是,6,4,2,45,0,0,0
1,763207267884425222,0.96,51,435.03,1,0,0,,是,6,4,2,44,0,0,0
